finding_id,area,verdict,severity,required_stage,launch_blocker,evidence,disposition
B01,authorization ancestry,PASS,none,none,FALSE,`afc9c5f...` changes only bounded authorization and its test; `82cb02d...` reverses them.,Attribute the run to `afc9c5f...`; keep current flag false.
B02,bounded grid completeness,PASS,none,none,FALSE,Fit plan and run status contain the exact 3 x 2 x 4 grid; 24 statuses are completed and failure log has zero rows.,Accept 24/24 completion.
B03,maintained diagnostics,PASS,none,none,FALSE,"897/897 rows pass; max R-hat 1.00490775707187, min bulk ESS 1116.97123864205, min tail ESS 1657.19298205554.",Accept all six cells without schedule changes.
B04,numerical and forecast repairs,PASS,none,none,FALSE,All 24 fit-audit rows have zero numerical and forecast repairs and exact-target eligibility.,Accept.
B05,runtime and provenance,PASS,none,none,FALSE,"All 24 provenance rows have source/runtime match, expected-commit match, and reproducibility eligibility.",Accept controlled isolated-runtime evidence.
B06,ignored object boundary,PASS_WITH_LIMITATION,low,nonblocking,FALSE,Promotion source verifies and reopens 24 ignored RDS files; remote review cannot rehash unavailable objects.,Do not claim independent remote rehash or adversarial authenticity.
B07,original recursive manifest,PASS,none,none,FALSE,"Promoter requires exact original regular-file set, bytes, and SHA-256 before copying compact evidence.",No correction for present evidence.
B08,external expected bundle in promoter,PARTIAL,medium,before_reuse,FALSE,Promoter trusts the run's internally declared source and has no external expected commit/config/reference/runtime bundle input.,Require an explicit expected-bundle file or arguments.
B09,checkpoint/history semantic reconstruction,PARTIAL,medium,before_reuse,FALSE,Promoter compares stored digest strings and whole-object digest but does not recompute checkpoint/history digests or call history validation.,Recompute both semantic digests and invoke the validator.
B10,cross-table fit-ID set equality,PARTIAL,medium,before_reuse,FALSE,Promoter checks row counts but not exact unique ID-set equality across all 24-row tables.,Derive IDs from fit plan and require exact set equality.
B11,fixed-rate lambda diagnostics,PASS,none,none,FALSE,Fixed lambda is checked by exact identity and excluded from stochastic R-hat/ESS rows.,Retain.
B12,root swaps,PASS,none,none,FALSE,Swap frequency is stored as sidecar-only and never used as convergence evidence.,Retain.
B13,future-root interpretation,PASS,none,none,FALSE,Future conditional-mean roots are primary; stochastic process paths are sidecars; response simulation contract is false.,Retain wording.
S01,ADEMP framework,PASS,none,none,FALSE,"Aims, DGPs, estimands, methods, and performance measures are separated and MCSE is planned.",Retain ADEMP structure.
S02,location-scale oracle equivariance,PASS,none,none,FALSE,Residual product scales by s_t^2 and the check loss is positively homogeneous for s_t > 0.,Add deterministic transformation tests.
S03,oracle global minimum,REVISION_REQUIRED,high,before_implementation,TRUE,"Coverage and truncated-moment equations are necessary stationary conditions, not uniqueness or global-optimum proof.","Add independent coverage-profile global search, error bounds, and minimizer-set fallback."
S04,DGP scale positivity and separation,REVISION_REQUIRED,high,before_implementation,TRUE,Several DGP parameters and positive-scale/root-separation rules remain prose-level or provisional.,Freeze all parameters and DGP-only nondegeneracy gates.
